community_id,n_authors,label,display_label,short_description,confidence,review_status,n_generic_terms,n_unique_terms,top_terms,top_bigrams
1,44718,General ChatGPT/AI discussion,General ChatGPT Discussion,"Broad posts about ChatGPT and generative AI, including uses, limitations, social consequences, explainers and occasional generated-thread summaries.",medium,validated,9,7,"chatgpt, gpt, like, thread, just, generated, think, summary, people, compiled, saved, llms, use, new, human, llm, using, google, good, models","generated summary, compiled thread, saved compiled, thread ai, ai generated, summary thread, generative ai, artificial intelligence, ai art, chat gpt"
0,41574,Anti-AI-art discourse,Anti-AI-Art Discourse,"Posts opposing or questioning generative-AI art, especially around consent, copyright, authenticity and effects on creative work; a minority express support or argue against the criticism.",high,validated,9,2,"art, artists, like, just, people, artist, make, work, think, use, thing, generated, images, using, shit, really, want, know, human, used","ai art, ai generated, use ai, using ai, like ai, art ai, ai artists, ai bros, ai image, ai just"
3,17422,General ChatGPT/AI debate,General ChatGPT Debate,"Lexically diffuse posts debating ChatGPT and artificial intelligence, with criticism, practical uses, human-versus-machine framing and unclear cases.",low,provisional,10,1,"chatgpt, like, just, people, human, think, gpt, know, intelligence, make, chat, humans, going, use, artificial, time, need, good, world, real","artificial intelligence, chat gpt, ai art, ai generated, use ai, like ai, ai just, using ai, elon musk, think ai"
8,12679,AI-art and NFT posting,AI-Art & NFT Posting,"Posts featuring AI art, Midjourney, prompts or generated images alongside NFT, collection, Web3 and community-tag vocabulary.",high,validated,6,3,"art, aiart, midjourney, aiartcommunity, collection, nft, like, gm, new, just, work, artist, artists, love, aiartwork, aiia, nfts, use, using, eth","ai art, ai aiart, art ai, using ai, aiart aiia, ai generated, aiart aiartwork, use ai, ai artists, aiia aiartcommunity"
2,10348,ChatGPT for SEO and content marketing,ChatGPT SEO/Content,"Posts about using ChatGPT and adjacent AI tools for copywriting, content production, search optimisation and marketing workflows.",high,validated,7,4,"chatgpt, content, use, google, gpt, tools, using, just, like, seo, help, writing, write, new, tool, search, time, chat, create, make","ai tools, chat gpt, ai content, use chatgpt, use ai, using chatgpt, using ai, artificial intelligence, ai tool, ai generated"
12,7502,AI-token/launchpad and general-AI posting,"AI Tokens, Launchpads & AI","A mixture of AI-branded token and launchpad promotion, bullish price vocabulary and broader posts about ChatGPT and artificial intelligence.",medium,validated,6,7,"price, profit, sell, aipad, chatgpt, buy, launchpad, agix, artificialintelligence, bullish, fet, crypto, future, new, like, use, technology, just, help, intelligence","price profit, aipad launchpad, launchpad bullish, ai fet, bullish artificialintelligence, artificialintelligence agix, fet aipad, artificial intelligence, ai aipad, aipadtweet ai"
4,7497,AI/crypto launchpad and airdrop promotion,AI/Crypto Launchpads,"Promotional posts about AI-branded crypto projects, launchpads, IDOs, token offers and airdrops, with some repeated or closely templated wording.",high,validated,1,10,"sfund, project, launchpad, algalonai, projects, category, idos, crypto, nft, new, token, join, algalontweet, ido, dyor, team, igo, future, seedify, blockchain","ai projects, algalonai algalontweet, algalontweet ai, ai artificialintelligence, ai category, ai idos, algalon ai, new category, ai project, algalonai ai"
9,7256,AI-blockchain/token promotion,AI-Blockchain Promotion,"Promotional or investment-oriented posts about AI-linked blockchain, crypto-token, Web3 and metaverse projects.",high,validated,0,11,"man, blockchain, crypto, matrixainetwork, project, eth, web3, matrix, data, projects, check, fet, token, ocean, decentralized, metaverse, bot, gem, btc, network","ai blockchain, artificial intelligence, ai project, ai projects, matrixainetwork ai, ai crypto, matrix ai, ai narrative, man matrixainetwork, man ai"
16,7132,Data-science/ML technology headlines,Data Science/ML Headlines,"Posts dominated by data-science, machine-learning, big-data and technology headline or link-summary vocabulary, often with dense keyword lists.",high,validated,3,11,"machinelearning, artificialintelligence, bigdata, datascience, iot, ml, technology, python, chatgpt, intelligence, artificial, tech, data, deeplearning, analytics, dl, innovation, learning, coding, exclusive","artificial intelligence, ai ml, ai machinelearning, ai artificialintelligence, ml dl, aipaparazzi tmz, paparazzi ai, celebwatch exclusive, celebnews celebwatch, exclusive perezhilton"
7,5490,AI-art/authenticity disputes,AI-Art Authenticity Disputes,"Posts discussing AI art, attribution, authenticity and whether generated images are presented as human-made; stance is frequently unclear.",medium,validated,9,3,"art, like, people, just, artists, think, make, botprompt, generated, use, thing, really, good, human, artist, image, work, way, using, images","ai art, ai generated, like ai, use ai, using ai, think ai, anti ai, ai just, ai image, ai make"
10,4542,AI news and tech press coverage,ChatGPT & AI/Tech News,"Posts circulating technology-press stories about ChatGPT, OpenAI, Microsoft Bing and Google's competitive response.",high,validated,9,4,"chatgpt, new, google, microsoft, intelligence, artificial, bing, like, tech, openai, use, just, using, data, technology, search, chatbot, human, help, gpt","artificial intelligence, generative ai, ai chatbot, new ai, ai powered, chatgpt ai, ai generated, using ai, chat gpt, use ai"
6,4098,Mixed AI art and ChatGPT discourse,Mixed AI Art/ChatGPT,"No unique terms survive the c-TF-IDF: a mixture of AI-art talk and a weak ChatGPT-as-writing-tool register ('chatgpt write', 'asked chatgpt', drafting at work). Too diffuse to label more narrowly.",low,validated,12,0,"chatgpt, like, just, people, art, human, think, write, new, use, going, time, intelligence, make, know, bert, work, good, artificial, asked","ai art, artificial intelligence, ai generated, chat gpt, chatgpt write, asked chatgpt, use ai, using ai, ai chatbot, hey video"
