"community_id","n_authors","pre_audit_label","final_label","display_label","label_changed","confidence","review_status","decision_date","audit_posts_inspected","audit_distinct_authors","evidence_summary","validation_sample_file","validation_diagnostics_file"
"1","44718","General ChatGPT discourse and thread bots","General ChatGPT/AI discussion","General ChatGPT Discussion","True","medium","validated","2026-08-21","25","25","25 posts from 25 authors: broad ChatGPT/AI discussion; one generated-thread item and no recurring template in the sample.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"0","41574","Anti-AI-art artist backlash","Anti-AI-art discourse","Anti-AI-Art Discourse","True","high","validated","2026-08-21","25","25","25 posts from 25 authors: 16 opposed, 2 mixed, 7 unclear; supports an opposition-heavy content label without an artist-identity claim.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"3","17422","Mixed ChatGPT and AI debate","General ChatGPT/AI debate","General ChatGPT Debate","True","low","provisional","2026-08-21","25","25","25 posts from 25 authors: 3 supportive, 14 opposed, 2 mixed, 6 unclear; lexically diffuse, so the broad label remains provisional.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"8","12679","AI art NFT creator community","AI-art and NFT posting","AI-Art & NFT Posting","True","high","validated","2026-08-21","25","25","25 posts from 25 authors: AI-art/NFT content appeared in about 16; author occupation or creator identity was not established.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"2","10348","ChatGPT for SEO and content marketing","ChatGPT for SEO and content marketing","ChatGPT SEO/Content","False","high","validated","2026-08-21","","","Label retained; this community was not among the inferential labels selected for the focused cross-author audit.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"12","7502","AI crypto token promotion (AIPAD)","AI-token/launchpad and general-AI posting","AI Tokens, Launchpads & AI","True","medium","validated","2026-08-21","25","25","25 posts from 25 authors: roughly 12 concerned tokens or launchpads, alongside substantial general-AI posting; one exact duplicate pair was observed.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"4","7497","Web3 AI launchpad promotion (Algalon)","AI/crypto launchpad and airdrop promotion","AI/Crypto Launchpads","True","high","validated","2026-08-21","25","25","25 posts from 25 authors: all promotional; evidence included launchpad/airdrop terms and limited exact or near repetition across authors.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"9","7256","AI blockchain promotion (Matrix AI)","AI-blockchain/token promotion","AI-Blockchain Promotion","True","high","validated","2026-08-21","25","25","25 posts from 25 authors: about 18 were promotional or investment-oriented; a single named project did not dominate the cross-author sample.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"16","7132","Data science and ML hashtag feeds","Data-science/ML technology headlines","Data Science/ML Headlines","True","high","validated","2026-08-21","25","25","25 posts from 25 authors: about 14 had headline, institution or keyword-pack form; no repeated cross-author template established an automated class.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
"7","5490","AI art arguments, pro and anti","AI-art/authenticity disputes","AI-Art Authenticity Disputes","True","medium","validated","2026-08-21","25","25","25 posts from 25 authors: 1 supportive, 6 opposed, 1 mixed, 17 unclear; authenticity disputes recur, but a balanced pro/anti stance label is unsupported.","focused_validation_sample_summary.csv","focused_validation_diagnostics.json"
